Date,Amount,Description,Category
2026-08-01,1000.00,August paycheck,Income
2026-08-02,-64.32,Weekly grocery shop,Groceries
2026-08-03,-12.50,Coffee Shop,Restaurants
2026-08-05,-45.00,Electric bill,Utilities
2026-08-07,-89.99,"Corner Market, Inc.",Groceries
2026-08-10,150.00,Freelance design work,Income
2026-08-12,-35.20,Gas station fill-up,Transportation
2026-08-15,1000.00,August paycheck,Income
2026-08-16,-18.75,Movie tickets,Entertainment
2026-08-18,-30.00,Clothing,Personal extras
2026-08-18,-120.00,Internet and cable,Utilities
2026-08-20,-52.40,Pharmacy,Health
2026-08-22,-9.99,Streaming subscription,Entertainment
2026-08-24,30.00,Refund from return,Personal extras
2026-08-26,-50.00,Parking,Transportation
2026-08-28,-30.00,Restaurant dinner,Dining
